year,category,amount
1970,Individual Income Tax,90412.0
1971,Individual Income Tax,86230.0
1972,Individual Income Tax,94737.0
1973,Individual Income Tax,103246.0
1974,Individual Income Tax,118952.0
1975,Individual Income Tax,122386.0
1976,Individual Income Tax,131603.0
1977,Individual Income Tax,157626.0
1978,Individual Income Tax,180988.0
1979,Individual Income Tax,217841.0
1980,Individual Income Tax,244069.0
1981,Individual Income Tax,285917.0
1982,Individual Income Tax,297744.0
1983,Individual Income Tax,288938.0
1984,Individual Income Tax,298415.0
1985,Individual Income Tax,334531.0
1986,Individual Income Tax,348959.0
1987,Individual Income Tax,392557.0
1988,Individual Income Tax,401181.0
1989,Individual Income Tax,445690.0
1990,Individual Income Tax,466884.0
1991,Individual Income Tax,467827.0
1992,Individual Income Tax,475964.0
1993,Individual Income Tax,509680.0
1994,Individual Income Tax,543055.0
1995,Individual Income Tax,590244.0
1996,Individual Income Tax,656417.0
1997,Individual Income Tax,737466.0
1998,Individual Income Tax,828586.0
1999,Individual Income Tax,879480.0
2000,Individual Income Tax,1004462.0
2001,Individual Income Tax,994339.0
2002,Individual Income Tax,858345.0
2003,Individual Income Tax,793699.0
2004,Individual Income Tax,808959.0
2005,Individual Income Tax,927222.0
2006,Individual Income Tax,1043908.0
2007,Individual Income Tax,1163472.0
2008,Individual Income Tax,1145747.0
2009,Individual Income Tax,915308.0
2010,Individual Income Tax,898549.0
2011,Individual Income Tax,1091473.0
2012,Individual Income Tax,1132206.0
2013,Individual Income Tax,1316405.0
2014,Individual Income Tax,1394568.0
2015,Individual Income Tax,1540802.0
2016,Individual Income Tax,1546075.0
2017,Individual Income Tax,1587120.0
2018,Individual Income Tax,1683538.0
2019,Individual Income Tax,1717857.0
2020,Individual Income Tax,1608663.0
2021,Individual Income Tax,2044377.0
2022,Individual Income Tax,2632146.0
2023,Individual Income Tax,2176481.0
2024,Individual Income Tax,2426067.0
1970,Corporate Income Tax,32829.0
1971,Corporate Income Tax,26785.0
1972,Corporate Income Tax,32166.0
1973,Corporate Income Tax,36153.0
1974,Corporate Income Tax,38620.0
1975,Corporate Income Tax,40621.0
1976,Corporate Income Tax,41409.0
1977,Corporate Income Tax,54892.0
1978,Corporate Income Tax,59952.0
1979,Corporate Income Tax,65677.0
1980,Corporate Income Tax,64600.0
1981,Corporate Income Tax,61137.0
1982,Corporate Income Tax,49207.0
1983,Corporate Income Tax,37022.0
1984,Corporate Income Tax,56893.0
1985,Corporate Income Tax,61331.0
1986,Corporate Income Tax,63143.0
1987,Corporate Income Tax,83926.0
1988,Corporate Income Tax,94508.0
1989,Corporate Income Tax,103291.0
1990,Corporate Income Tax,93507.0
1991,Corporate Income Tax,98086.0
1992,Corporate Income Tax,100270.0
1993,Corporate Income Tax,117520.0
1994,Corporate Income Tax,140385.0
1995,Corporate Income Tax,157004.0
1996,Corporate Income Tax,171824.0
1997,Corporate Income Tax,182293.0
1998,Corporate Income Tax,188677.0
1999,Corporate Income Tax,184680.0
2000,Corporate Income Tax,207289.0
2001,Corporate Income Tax,151075.0
2002,Corporate Income Tax,148044.0
2003,Corporate Income Tax,131778.0
2004,Corporate Income Tax,189371.0
2005,Corporate Income Tax,278282.0
2006,Corporate Income Tax,353915.0
2007,Corporate Income Tax,370243.0
2008,Corporate Income Tax,304346.0
2009,Corporate Income Tax,138229.0
2010,Corporate Income Tax,191437.0
2011,Corporate Income Tax,181085.0
2012,Corporate Income Tax,242289.0
2013,Corporate Income Tax,273506.0
2014,Corporate Income Tax,320731.0
2015,Corporate Income Tax,343797.0
2016,Corporate Income Tax,299571.0
2017,Corporate Income Tax,297048.0
2018,Corporate Income Tax,204733.0
2019,Corporate Income Tax,230245.0
2020,Corporate Income Tax,211845.0
2021,Corporate Income Tax,371831.0
2022,Corporate Income Tax,424865.0
2023,Corporate Income Tax,419584.0
2024,Corporate Income Tax,529867.0
1970,Payroll Taxes (FICA),44362.0
1971,Payroll Taxes (FICA),47325.0
1972,Payroll Taxes (FICA),52574.0
1973,Payroll Taxes (FICA),63115.0
1974,Payroll Taxes (FICA),75071.0
1975,Payroll Taxes (FICA),84534.0
1976,Payroll Taxes (FICA),90769.0
1977,Payroll Taxes (FICA),106485.0
1978,Payroll Taxes (FICA),120967.0
1979,Payroll Taxes (FICA),138939.0
1980,Payroll Taxes (FICA),157803.0
1981,Payroll Taxes (FICA),182720.0
1982,Payroll Taxes (FICA),201498.0
1983,Payroll Taxes (FICA),208994.0
1984,Payroll Taxes (FICA),239376.0
1985,Payroll Taxes (FICA),265163.0
1986,Payroll Taxes (FICA),283901.0
1987,Payroll Taxes (FICA),303318.0
1988,Payroll Taxes (FICA),334335.0
1989,Payroll Taxes (FICA),359416.0
1990,Payroll Taxes (FICA),380047.0
1991,Payroll Taxes (FICA),396015.0
1992,Payroll Taxes (FICA),413688.0
1993,Payroll Taxes (FICA),428299.0
1994,Payroll Taxes (FICA),461475.0
1995,Payroll Taxes (FICA),484473.0
1996,Payroll Taxes (FICA),509414.0
1997,Payroll Taxes (FICA),539371.0
1998,Payroll Taxes (FICA),571831.0
1999,Payroll Taxes (FICA),611833.0
2000,Payroll Taxes (FICA),652852.0
2001,Payroll Taxes (FICA),693967.0
2002,Payroll Taxes (FICA),700760.0
2003,Payroll Taxes (FICA),712978.0
2004,Payroll Taxes (FICA),733407.0
2005,Payroll Taxes (FICA),794125.0
2006,Payroll Taxes (FICA),837821.0
2007,Payroll Taxes (FICA),869607.0
2008,Payroll Taxes (FICA),900155.0
2009,Payroll Taxes (FICA),890917.0
2010,Payroll Taxes (FICA),864814.0
2011,Payroll Taxes (FICA),818792.0
2012,Payroll Taxes (FICA),845314.0
2013,Payroll Taxes (FICA),947820.0
2014,Payroll Taxes (FICA),1023458.0
2015,Payroll Taxes (FICA),1065257.0
2016,Payroll Taxes (FICA),1115065.0
2017,Payroll Taxes (FICA),1161897.0
2018,Payroll Taxes (FICA),1170701.0
2019,Payroll Taxes (FICA),1243113.0
2020,Payroll Taxes (FICA),1309955.0
2021,Payroll Taxes (FICA),1314088.0
2022,Payroll Taxes (FICA),1483527.0
2023,Payroll Taxes (FICA),1614456.0
2024,Payroll Taxes (FICA),1708926.0
1970,Excise Taxes,15705.0
1971,Excise Taxes,16614.0
1972,Excise Taxes,15477.0
1973,Excise Taxes,16260.0
1974,Excise Taxes,16844.0
1975,Excise Taxes,16551.0
1976,Excise Taxes,16963.0
1977,Excise Taxes,17548.0
1978,Excise Taxes,18376.0
1979,Excise Taxes,18745.0
1980,Excise Taxes,24329.0
1981,Excise Taxes,40839.0
1982,Excise Taxes,36311.0
1983,Excise Taxes,35300.0
1984,Excise Taxes,37361.0
1985,Excise Taxes,35992.0
1986,Excise Taxes,32919.0
1987,Excise Taxes,32457.0
1988,Excise Taxes,35227.0
1989,Excise Taxes,34386.0
1990,Excise Taxes,35345.0
1991,Excise Taxes,42402.0
1992,Excise Taxes,45569.0
1993,Excise Taxes,48057.0
1994,Excise Taxes,55225.0
1995,Excise Taxes,57484.0
1996,Excise Taxes,54014.0
1997,Excise Taxes,56924.0
1998,Excise Taxes,57673.0
1999,Excise Taxes,70414.0
2000,Excise Taxes,68865.0
2001,Excise Taxes,66232.0
2002,Excise Taxes,66989.0
2003,Excise Taxes,67524.0
2004,Excise Taxes,69855.0
2005,Excise Taxes,73094.0
2006,Excise Taxes,73961.0
2007,Excise Taxes,65069.0
2008,Excise Taxes,67334.0
2009,Excise Taxes,62483.0
2010,Excise Taxes,66909.0
2011,Excise Taxes,72381.0
2012,Excise Taxes,79061.0
2013,Excise Taxes,84007.0
2014,Excise Taxes,93368.0
2015,Excise Taxes,98279.0
2016,Excise Taxes,95026.0
2017,Excise Taxes,83823.0
2018,Excise Taxes,94986.0
2019,Excise Taxes,98914.0
2020,Excise Taxes,86780.0
2021,Excise Taxes,75274.0
2022,Excise Taxes,87728.0
2023,Excise Taxes,75802.0
2024,Excise Taxes,101436.0
1970,Other,9499.0
1971,Other,10185.0
1972,Other,12355.0
1973,Other,12026.0
1974,Other,13737.0
1975,Other,14998.0
1976,Other,17317.0
1977,Other,19008.0
1978,Other,19278.0
1979,Other,22101.0
1980,Other,26311.0
1981,Other,28659.0
1982,Other,33006.0
1983,Other,30309.0
1984,Other,34392.0
1985,Other,37020.0
1986,Other,40233.0
1987,Other,42029.0
1988,Other,43987.0
1989,Other,48321.0
1990,Other,56174.0
1991,Other,50657.0
1992,Other,55717.0
1993,Other,50778.0
1994,Other,58427.0
1995,Other,62585.0
1996,Other,61384.0
1997,Other,63178.0
1998,Other,74961.0
1999,Other,81045.0
2000,Other,91723.0
2001,Other,85469.0
2002,Other,78998.0
2003,Other,76335.0
2004,Other,78522.0
2005,Other,80888.0
2006,Other,97264.0
2007,Other,99594.0
2008,Other,106409.0
2009,Other,98052.0
2010,Other,140997.0
2011,Other,139735.0
2012,Other,151120.0
2013,Other,153368.0
2014,Other,189366.0
2015,Other,201755.0
2016,Other,212228.0
2017,Other,186296.0
2018,Other,175949.0
2019,Other,173235.0
2020,Other,203921.0
2021,Other,241541.0
2022,Other,269073.0
2023,Other,154625.0
2024,Other,153587.0
1970,Individual Income Tax (Real 2024$),571391.0480040424
1971,Individual Income Tax (Real 2024$),518499.33173076925
1972,Individual Income Tax (Real 2024$),543770.3804497476
1973,Individual Income Tax (Real 2024$),568102.825340959
1974,Individual Income Tax (Real 2024$),610978.5067761806
1975,Individual Income Tax (Real 2024$),569661.9657610718
1976,Individual Income Tax (Real 2024$),572706.5835073069
1977,Individual Income Tax (Real 2024$),639658.7871512006
1978,Individual Income Tax (Real 2024$),688238.6488294314
1979,Individual Income Tax (Real 2024$),766395.8894514767
1980,Individual Income Tax (Real 2024$),789798.4432082794
1981,Individual Income Tax (Real 2024$),842592.8178605089
1982,Individual Income Tax (Real 2024$),820419.5214805022
1983,Individual Income Tax (Real 2024$),762876.8347055097
1984,Individual Income Tax (Real 2024$),760602.4872630935
1985,Individual Income Tax (Real 2024$),825079.711496746
1986,Individual Income Tax (Real 2024$),841741.6032786886
1987,Individual Income Tax (Real 2024$),926185.7006225239
1988,Individual Income Tax (Real 2024$),916786.1807052805
1989,Individual Income Tax (Real 2024$),978968.1822971548
1990,Individual Income Tax (Real 2024$),989379.5642155202
1991,Individual Income Tax (Real 2024$),957158.8890888272
1992,Individual Income Tax (Real 2024$),950029.0054261091
1993,Individual Income Tax (Real 2024$),994007.1355060034
1994,Individual Income Tax (Real 2024$),1036470.1487868152
1995,Individual Income Tax (Real 2024$),1103135.3419007768
1996,Individual Income Tax (Real 2024$),1204137.1984452917
1997,Individual Income Tax (Real 2024$),1329224.2775616082
1998,Individual Income Tax (Real 2024$),1474967.9906063194
1999,Individual Income Tax (Real 2024$),1546415.9088991983
2000,Individual Income Tax (Real 2024$),1730175.7655970252
2001,Individual Income Tax (Real 2024$),1672206.2488906817
2002,Individual Income Tax (Real 2024$),1421143.8860206513
2003,Individual Income Tax (Real 2024$),1289361.3966748929
2004,Individual Income Tax (Real 2024$),1282826.1966527198
2005,Individual Income Tax (Real 2024$),1426942.9745293467
2006,Individual Income Tax (Real 2024$),1555971.5595280658
2007,Individual Income Tax (Real 2024$),1687722.605427975
2008,Individual Income Tax (Real 2024$),1628207.9001249855
2009,Individual Income Tax (Real 2024$),1287566.8829153075
2010,Individual Income Tax (Real 2024$),1253139.1997100802
2011,Individual Income Tax (Real 2024$),1492244.5136641888
2012,Individual Income Tax (Real 2024$),1520345.7635817048
2013,Individual Income Tax (Real 2024$),1736188.6887061056
2014,Individual Income Tax (Real 2024$),1806323.734051367
2015,Individual Income Tax (Real 2024$),1975277.840713407
2016,Individual Income Tax (Real 2024$),1966316.8624161072
2017,Individual Income Tax (Real 2024$),1985010.984
2018,Individual Income Tax (Real 2024$),2059871.8221483072
2019,Individual Income Tax (Real 2024$),2064101.9789605148
2020,Individual Income Tax (Real 2024$),1908151.3790781486
2021,Individual Income Tax (Real 2024$),2344706.3859697385
2022,Individual Income Tax (Real 2024$),2819480.1320657763
2023,Individual Income Tax (Real 2024$),2229787.6693152026
2024,Individual Income Tax (Real 2024$),2426067.0
1970,Corporate Income Tax (Real 2024$),207474.6351692774
1971,Corporate Income Tax (Real 2024$),161057.68990384616
1972,Corporate Income Tax (Real 2024$),184626.04956402018
1973,Corporate Income Tax (Real 2024$),198928.97976242847
1974,Corporate Income Tax (Real 2024$),198365.64271047225
1975,Corporate Income Tax (Real 2024$),189075.86416077407
1976,Corporate Income Tax (Real 2024$),180202.63152400835
1977,Corporate Income Tax (Real 2024$),222756.08176508764
1978,Corporate Income Tax (Real 2024$),227978.00668896319
1979,Corporate Income Tax (Real 2024$),231061.1080168776
1980,Corporate Income Tax (Real 2024$),209043.2600258732
1981,Corporate Income Tax (Real 2024$),180169.7594250707
1982,Corporate Income Tax (Real 2024$),135587.56311962986
1983,Corporate Income Tax (Real 2024$),97748.39645345154
1984,Corporate Income Tax (Real 2024$),145009.32361931933
1985,Corporate Income Tax (Real 2024$),151265.39479392624
1986,Corporate Income Tax (Real 2024$),152310.4148505304
1987,Corporate Income Tax (Real 2024$),198012.16411997733
1988,Corporate Income Tax (Real 2024$),215971.41531152933
1989,Corporate Income Tax (Real 2024$),226881.02160168596
1990,Corporate Income Tax (Real 2024$),198151.82124703488
1991,Corporate Income Tax (Real 2024$),200680.7789955832
1992,Corporate Income Tax (Real 2024$),200139.94414299392
1993,Corporate Income Tax (Real 2024$),229194.23670668952
1994,Corporate Income Tax (Real 2024$),267937.6155959103
1995,Corporate Income Tax (Real 2024$),293432.31141661684
1996,Corporate Income Tax (Real 2024$),315195.4778527427
1997,Corporate Income Tax (Real 2024$),328568.7492434068
1998,Corporate Income Tax (Real 2024$),335864.3949615713
1999,Corporate Income Tax (Real 2024$),324728.35090679035
2000,Corporate Income Tax (Real 2024$),357053.23275030986
2001,Corporate Income Tax (Real 2024$),254066.83138362243
2002,Corporate Income Tax (Real 2024$),245113.35822081016
2003,Corporate Income Tax (Real 2024$),214072.92453565396
2004,Corporate Income Tax (Real 2024$),300299.6192468619
2005,Corporate Income Tax (Real 2024$),428260.4865263935
2006,Corporate Income Tax (Real 2024$),527519.3546657133
2007,Corporate Income Tax (Real 2024$),537071.3524704245
2008,Corporate Income Tax (Real 2024$),432502.6044767639
2009,Corporate Income Tax (Real 2024$),194447.20537622314
2010,Corporate Income Tax (Real 2024$),266982.8901650312
2011,Corporate Income Tax (Real 2024$),247576.52984258853
2012,Corporate Income Tax (Real 2024$),325349.8521580416
2013,Corporate Income Tax (Real 2024$),360723.35147105344
2014,Corporate Income Tax (Real 2024$),415429.01998757245
2015,Corporate Income Tax (Real 2024$),440740.98800738
2016,Corporate Income Tax (Real 2024$),380998.01677852345
2017,Corporate Income Tax (Real 2024$),371517.9336
2018,Corporate Income Tax (Real 2024$),250498.49647818427
2019,Corporate Income Tax (Real 2024$),276652.3407628014
2020,Corporate Income Tax (Real 2024$),251284.65620257967
2021,Corporate Income Tax (Real 2024$),426454.86629986245
2022,Corporate Income Tax (Real 2024$),455103.3363309353
2023,Corporate Income Tax (Real 2024$),429860.5085190038
2024,Corporate Income Tax (Real 2024$),529867.0
1970,Payroll Taxes (FICA) (Real 2024$),280361.5634158666
1971,Payroll Taxes (FICA) (Real 2024$),284564.3149038462
1972,Payroll Taxes (FICA) (Real 2024$),301763.66131252865
1973,Payroll Taxes (FICA) (Real 2024$),347285.21997360315
1974,Payroll Taxes (FICA) (Real 2024$),385590.5531827515
1975,Payroll Taxes (FICA) (Real 2024$),393474.78154075175
1976,Payroll Taxes (FICA) (Real 2024$),395006.2223382046
1977,Payroll Taxes (FICA) (Real 2024$),432124.5603504219
1978,Payroll Taxes (FICA) (Real 2024$),459998.25752508355
1979,Payroll Taxes (FICA) (Real 2024$),488807.3341772152
1980,Payroll Taxes (FICA) (Real 2024$),510644.7919793014
1981,Payroll Taxes (FICA) (Real 2024$),538472.9123468426
1982,Payroll Taxes (FICA) (Real 2024$),555218.2167878387
1983,Payroll Taxes (FICA) (Real 2024$),551802.3977200759
1984,Payroll Taxes (FICA) (Real 2024$),610123.4220501324
1985,Payroll Taxes (FICA) (Real 2024$),653992.0412147505
1986,Payroll Taxes (FICA) (Real 2024$),684811.9203471553
1987,Payroll Taxes (FICA) (Real 2024$),715638.2241086586
1988,Payroll Taxes (FICA) (Real 2024$),764028.4752420976
1989,Payroll Taxes (FICA) (Real 2024$),789465.3867228661
1990,Payroll Taxes (FICA) (Real 2024$),805362.2211114876
1991,Payroll Taxes (FICA) (Real 2024$),810233.8630786849
1992,Payroll Taxes (FICA) (Real 2024$),825725.4733482285
1993,Payroll Taxes (FICA) (Real 2024$),835293.2469982847
1994,Payroll Taxes (FICA) (Real 2024$),880767.2554555165
1995,Payroll Taxes (FICA) (Real 2024$),905454.8432456664
1996,Payroll Taxes (FICA) (Real 2024$),934473.5843355822
1997,Payroll Taxes (FICA) (Real 2024$),972173.6701253783
1998,Payroll Taxes (FICA) (Real 2024$),1017917.7792485056
1999,Payroll Taxes (FICA) (Real 2024$),1075804.2079291437
2000,Payroll Taxes (FICA) (Real 2024$),1124531.0513703346
2001,Payroll Taxes (FICA) (Real 2024$),1167062.6958450987
2002,Payroll Taxes (FICA) (Real 2024$),1160233.6934074662
2003,Payroll Taxes (FICA) (Real 2024$),1158230.3995324068
2004,Payroll Taxes (FICA) (Real 2024$),1163017.7949790794
2005,Payroll Taxes (FICA) (Real 2024$),1222114.1103728313
2006,Payroll Taxes (FICA) (Real 2024$),1248793.6178047908
2007,Payroll Taxes (FICA) (Real 2024$),1261444.53131524
2008,Payroll Taxes (FICA) (Real 2024$),1279199.9301215769
2009,Payroll Taxes (FICA) (Real 2024$),1253255.980092228
2010,Payroll Taxes (FICA) (Real 2024$),1206091.5140499554
2011,Payroll Taxes (FICA) (Real 2024$),1119439.3904678617
2012,Payroll Taxes (FICA) (Real 2024$),1135102.2329826066
2013,Payroll Taxes (FICA) (Real 2024$),1250066.934514394
2014,Payroll Taxes (FICA) (Real 2024$),1325640.96996686
2015,Payroll Taxes (FICA) (Real 2024$),1365638.509532595
2016,Payroll Taxes (FICA) (Real 2024$),1418153.1375838926
2017,Payroll Taxes (FICA) (Real 2024$),1453184.5779
2018,Payroll Taxes (FICA) (Real 2024$),1432396.537566034
2019,Payroll Taxes (FICA) (Real 2024$),1493670.3132865787
2020,Payroll Taxes (FICA) (Real 2024$),1553832.2444044005
2021,Payroll Taxes (FICA) (Real 2024$),1507134.215130674
2022,Payroll Taxes (FICA) (Real 2024$),1589112.040853032
2023,Payroll Taxes (FICA) (Real 2024$),1653997.4764089119
2024,Payroll Taxes (FICA) (Real 2024$),1708926.0
1970,Excise Taxes (Real 2024$),99253.37796867103
1971,Excise Taxes (Real 2024$),99899.6625
1972,Excise Taxes (Real 2024$),88834.71271225331
1973,Excise Taxes (Real 2024$),89469.34447866255
1974,Excise Taxes (Real 2024$),86516.59466119096
1975,Excise Taxes (Real 2024$),77038.83773725343
1976,Excise Taxes (Real 2024$),73819.15135699374
1977,Excise Taxes (Real 2024$),71211.17326411422
1978,Excise Taxes (Real 2024$),69877.96655518394
1979,Excise Taxes (Real 2024$),65947.59915611814
1980,Excise Taxes (Real 2024$),78727.76274256145
1981,Excise Taxes (Real 2024$),120351.87865221489
1982,Excise Taxes (Real 2024$),100053.2445472571
1983,Excise Taxes (Real 2024$),93201.83660544647
1984,Excise Taxes (Real 2024$),95226.00917057265
1985,Excise Taxes (Real 2024$),88769.8568329718
1986,Excise Taxes (Real 2024$),79405.58013500483
1987,Excise Taxes (Real 2024$),76577.94736842104
1988,Excise Taxes (Real 2024$),80501.38662525124
1989,Excise Taxes (Real 2024$),75529.62802950473
1990,Excise Taxes (Real 2024$),74900.01948492037
1991,Excise Taxes (Real 2024$),86753.11859970556
1992,Excise Taxes (Real 2024$),90956.18943504627
1993,Excise Taxes (Real 2024$),93723.51457975985
1994,Excise Taxes (Real 2024$),105401.96474896994
1995,Excise Taxes (Real 2024$),107434.60669456066
1996,Excise Taxes (Real 2024$),99083.76327368729
