year,category,amount
1997,Excise Taxes (Real 2024$),102601.01859057501
1998,Excise Taxes (Real 2024$),102663.85012809564
1999,Excise Taxes (Real 2024$),123811.03584985236
2000,Excise Taxes (Real 2024$),118619.27489326539
2001,Excise Taxes (Real 2024$),111384.10972166195
2002,Excise Taxes (Real 2024$),110912.28792692613
2003,Excise Taxes (Real 2024$),109692.5143525133
2004,Excise Taxes (Real 2024$),110774.24686192468
2005,Excise Taxes (Real 2024$),112487.59173126615
2006,Excise Taxes (Real 2024$),110240.76117268502
2007,Excise Taxes (Real 2024$),94388.53897007655
2008,Excise Taxes (Real 2024$),95687.57391205544
2009,Excise Taxes (Real 2024$),87895.04903835339
2010,Excise Taxes (Real 2024$),93312.98650758251
2011,Excise Taxes (Real 2024$),98958.15118058592
2012,Excise Taxes (Real 2024$),106164.475735452
2013,Excise Taxes (Real 2024$),110795.69218601707
2014,Excise Taxes (Real 2024$),120935.54018227008
2015,Excise Taxes (Real 2024$),125991.74384993847
2016,Excise Taxes (Real 2024$),120855.21476510067
2017,Excise Taxes (Real 2024$),104837.4261
2018,Excise Taxes (Real 2024$),116218.92995499901
2019,Excise Taxes (Real 2024$),118850.74435584589
2020,Excise Taxes (Real 2024$),102936.02617602427
2021,Excise Taxes (Real 2024$),86332.13370013755
2022,Excise Taxes (Real 2024$),93971.74511819116
2023,Excise Taxes (Real 2024$),77658.55291612056
2024,Excise Taxes (Real 2024$),101436.0
1970,Other (Real 2024$),60032.33602829712
1971,Other (Real 2024$),61242.20913461539
1972,Other (Real 2024$),70915.09178522257
1973,Other (Real 2024$),66172.09942806863
1974,Other (Real 2024$),70557.97084188911
1975,Other (Real 2024$),69810.19203572757
1976,Other (Real 2024$),75359.67954070981
1977,Other (Real 2024$),77135.96885139521
1978,Other (Real 2024$),73307.97993311036
1979,Other (Real 2024$),77754.48860759493
1980,Other (Real 2024$),85141.44294954721
1981,Other (Real 2024$),84457.61380772856
1982,Other (Real 2024$),90946.47323198941
1983,Other (Real 2024$),80024.20582647243
1984,Other (Real 2024$),87658.59873649888
1985,Other (Real 2024$),91305.29284164858
1986,Other (Real 2024$),97048.04840887175
1987,Other (Real 2024$),99161.80022637238
1988,Other (Real 2024$),100519.89932395396
1989,Other (Real 2024$),106138.1712328767
1990,Other (Real 2024$),119039.0067773636
1991,Other (Real 2024$),103642.58122035008
1992,Other (Real 2024$),111211.70108522182
1993,Other (Real 2024$),99030.16466552315
1994,Other (Real 2024$),111513.27468335113
1995,Other (Real 2024$),116968.1104303646
1996,Other (Real 2024$),112603.35699618656
1997,Other (Real 2024$),113873.36013834846
1998,Other (Real 2024$),133438.26174210076
1999,Other (Real 2024$),142503.84015183465
2000,Other (Real 2024$),157991.95165955104
2001,Other (Real 2024$),143735.48245260186
2002,Other (Real 2024$),130795.33836378079
2003,Other (Real 2024$),124005.95466943759
2004,Other (Real 2024$),124518.15062761506
2005,Other (Real 2024$),124482.12329272795
2006,Other (Real 2024$),144974.4783696818
2007,Other (Real 2024$),144470.2108559499
2008,Other (Real 2024$),151216.60754459718
2009,Other (Real 2024$),137930.08255539308
2010,Other (Real 2024$),196637.98829170383
2011,Other (Real 2024$),191043.46797114122
2012,Other (Real 2024$),202926.5449860425
2013,Other (Real 2024$),202274.97374248653
2014,Other (Real 2024$),245277.60584092792
2015,Other (Real 2024$),258645.93942189417
2016,Other (Real 2024$),269914.1342281879
2017,Other (Real 2024$),233000.4072
2018,Other (Real 2024$),215280.19399334767
2019,Other (Real 2024$),208151.61350754154
2020,Other (Real 2024$),241885.42744688923
2021,Other (Real 2024$),277024.6022008253
2022,Other (Real 2024$),288223.3651079137
2023,Other (Real 2024$),158412.0965760157
2024,Other (Real 2024$),153587.0
1970,Individual Income Tax (CPI Real 2024$),735257.7946846455
1971,Individual Income Tax (CPI Real 2024$),669505.941839701
1972,Individual Income Tax (CPI Real 2024$),711904.5754039389
1973,Individual Income Tax (CPI Real 2024$),739013.8788629404
1974,Individual Income Tax (CPI Real 2024$),773277.5448817803
1975,Individual Income Tax (CPI Real 2024$),721244.7122742317
1976,Individual Income Tax (CPI Real 2024$),729460.8367906908
1977,Individual Income Tax (CPI Real 2024$),823299.8196088839
1978,Individual Income Tax (CPI Real 2024$),883147.9866945061
1979,Individual Income Tax (CPI Real 2024$),963518.1641270404
1980,Individual Income Tax (CPI Real 2024$),950657.1448718751
1981,Individual Income Tax (CPI Real 2024$),1002353.5361531972
1982,Individual Income Tax (CPI Real 2024$),971580.5832550833
1983,Individual Income Tax (CPI Real 2024$),911350.910631801
1984,Individual Income Tax (CPI Real 2024$),903809.5056658029
1985,Individual Income Tax (CPI Real 2024$),977180.9661143662
1986,Individual Income Tax (CPI Real 2024$),994617.7364486622
1987,Individual Income Tax (CPI Real 2024$),1088272.604375
1988,Individual Income Tax (CPI Real 2024$),1068149.5543812304
1989,Individual Income Tax (CPI Real 2024$),1133237.2880252958
1990,Individual Income Tax (CPI Real 2024$),1130545.3049941717
1991,Individual Income Tax (CPI Real 2024$),1078425.5944090995
1992,Individual Income Tax (CPI Real 2024$),1065202.475228633
1993,Individual Income Tax (CPI Real 2024$),1106807.756222777
1994,Individual Income Tax (CPI Real 2024$),1148989.5189356646
1995,Individual Income Tax (CPI Real 2024$),1214806.1662549537
1996,Individual Income Tax (CPI Real 2024$),1314392.260983721
1997,Individual Income Tax (CPI Real 2024$),1438250.2496103896
1998,Individual Income Tax (CPI Real 2024$),1589919.4922450865
1999,Individual Income Tax (CPI Real 2024$),1655798.116328483
2000,Individual Income Tax (CPI Real 2024$),1833138.4926770462
2001,Individual Income Tax (CPI Real 2024$),1758199.8401603065
2002,Individual Income Tax (CPI Real 2024$),1495318.649545751
2003,Individual Income Tax (CPI Real 2024$),1350792.17735515
2004,Individual Income Tax (CPI Real 2024$),1345530.0869387481
2005,Individual Income Tax (CPI Real 2024$),1493087.7656974292
2006,Individual Income Tax (CPI Real 2024$),1621693.079586207
2007,Individual Income Tax (CPI Real 2024$),1765865.067059145
2008,Individual Income Tax (CPI Real 2024$),1665082.8932010196
2009,Individual Income Tax (CPI Real 2024$),1334206.761323732
2010,Individual Income Tax (CPI Real 2024$),1287851.2238715293
2011,Individual Income Tax (CPI Real 2024$),1524551.5872655192
2012,Individual Income Tax (CPI Real 2024$),1543938.2181390899
2013,Individual Income Tax (CPI Real 2024$),1766154.5048547904
2014,Individual Income Tax (CPI Real 2024$),1841056.7586406313
2015,Individual Income Tax (CPI Real 2024$),2027829.220257816
2016,Individual Income Tax (CPI Real 2024$),2016319.446644638
2017,Individual Income Tax (CPI Real 2024$),2028135.8550254412
2018,Individual Income Tax (CPI Real 2024$),2100637.7675054795
2019,Individual Income Tax (CPI Real 2024$),2104467.9696232346
2020,Individual Income Tax (CPI Real 2024$),1942470.1647644013
2021,Individual Income Tax (CPI Real 2024$),2389822.574332892
2022,Individual Income Tax (CPI Real 2024$),2851022.0777256503
2023,Individual Income Tax (CPI Real 2024$),2243538.7691898216
2024,Individual Income Tax (CPI Real 2024$),2426067.0
1970,Corporate Income Tax (CPI Real 2024$),266975.38094171375
1971,Corporate Income Tax (CPI Real 2024$),207963.77887250832
1972,Corporate Income Tax (CPI Real 2024$),241712.55763263666
1973,Corporate Income Tax (CPI Real 2024$),258775.82436638593
1974,Corporate Income Tax (CPI Real 2024$),251059.0724269819
1975,Corporate Income Tax (CPI Real 2024$),239387.52355082743
1976,Corporate Income Tax (CPI Real 2024$),229525.49554847318
1977,Corporate Income Tax (CPI Real 2024$),286707.60977231455
1978,Corporate Income Tax (CPI Real 2024$),292541.4287041629
1979,Corporate Income Tax (CPI Real 2024$),290491.6083995742
1980,Corporate Income Tax (CPI Real 2024$),251619.22062500002
1981,Corporate Income Tax (CPI Real 2024$),214331.04061597603
1982,Corporate Income Tax (CPI Real 2024$),160569.36751112662
1983,Corporate Income Tax (CPI Real 2024$),116772.57201687053
1984,Corporate Income Tax (CPI Real 2024$),172311.8281783574
1985,Corporate Income Tax (CPI Real 2024$),179150.76878603236
1986,Corporate Income Tax (CPI Real 2024$),179972.85564372284
1987,Corporate Income Tax (CPI Real 2024$),232665.23484430608
1988,Corporate Income Tax (CPI Real 2024$),251628.76129592705
1989,Corporate Income Tax (CPI Real 2024$),262633.69767645857
1990,Corporate Income Tax (CPI Real 2024$),226424.33631071105
1991,Corporate Income Tax (CPI Real 2024$),226105.9170445719
1992,Corporate Income Tax (CPI Real 2024$),224403.2157708882
1993,Corporate Income Tax (CPI Real 2024$),255203.35801149893
1994,Corporate Income Tax (CPI Real 2024$),297024.9672975726
1995,Corporate Income Tax (CPI Real 2024$),323136.579663144
1996,Corporate Income Tax (CPI Real 2024$),344055.8910742209
1997,Corporate Income Tax (CPI Real 2024$),355518.6988311689
1998,Corporate Income Tax (CPI Real 2024$),362039.9572745933
1999,Corporate Income Tax (CPI Real 2024$),347697.27125522384
2000,Corporate Income Tax (CPI Real 2024$),378301.4638767143
2001,Corporate Income Tax (CPI Real 2024$),267132.2766704497
2002,Corporate Income Tax (CPI Real 2024$),257906.73232016398
2003,Corporate Income Tax (CPI Real 2024$),224272.28905102183
2004,Corporate Income Tax (CPI Real 2024$),314978.1114910369
2005,Corporate Income Tax (CPI Real 2024$),448112.15611127863
2006,Corporate Income Tax (CPI Real 2024$),549800.8505172414
2007,Corporate Income Tax (CPI Real 2024$),561938.044081146
2008,Corporate Income Tax (CPI Real 2024$),442297.7482936089
2009,Corporate Income Tax (CPI Real 2024$),201490.71832762106
2010,Corporate Income Tax (CPI Real 2024$),274378.33078028465
2011,Corporate Income Tax (CPI Real 2024$),252936.55837567814
2012,Corporate Income Tax (CPI Real 2024$),330398.57317016687
2013,Corporate Income Tax (CPI Real 2024$),366949.27017507097
2014,Corporate Income Tax (CPI Real 2024$),423417.12649047474
2015,Corporate Income Tax (CPI Real 2024$),452466.7039872588
2016,Corporate Income Tax (CPI Real 2024$),390686.6309530785
2017,Corporate Income Tax (CPI Real 2024$),379589.25567291526
2018,Corporate Income Tax (CPI Real 2024$),255455.99330380387
2019,Corporate Income Tax (CPI Real 2024$),282062.6092078105
2020,Corporate Income Tax (CPI Real 2024$),255804.1007063099
2021,Corporate Income Tax (CPI Real 2024$),434660.5922668733
2022,Corporate Income Tax (CPI Real 2024$),460194.64537791914
2023,Corporate Income Tax (CPI Real 2024$),432511.4581435547
2024,Corporate Income Tax (CPI Real 2024$),529867.0
1970,Payroll Taxes (FICA) (CPI Real 2024$),360765.23346237495
1971,Payroll Taxes (FICA) (CPI Real 2024$),367440.20291735884
1972,Payroll Taxes (FICA) (CPI Real 2024$),395069.20366157556
1973,Payroll Taxes (FICA) (CPI Real 2024$),451764.3391941042
1974,Payroll Taxes (FICA) (CPI Real 2024$),488018.0120705841
1975,Payroll Taxes (FICA) (CPI Real 2024$),498175.4490496454
1976,Payroll Taxes (FICA) (CPI Real 2024$),503122.5024859176
1977,Payroll Taxes (FICA) (CPI Real 2024$),556184.140250035
1978,Payroll Taxes (FICA) (CPI Real 2024$),590269.8659937362
1979,Payroll Taxes (FICA) (CPI Real 2024$),614531.9301951738
1980,Payroll Taxes (FICA) (CPI Real 2024$),614648.109478125
1981,Payroll Taxes (FICA) (CPI Real 2024$),640570.6485655354
1982,Payroll Taxes (FICA) (CPI Real 2024$),657516.3374064054
1983,Payroll Taxes (FICA) (CPI Real 2024$),659196.3404487559
1984,Payroll Taxes (FICA) (CPI Real 2024$),724998.0873222097
1985,Payroll Taxes (FICA) (CPI Real 2024$),774553.7379728147
1986,Payroll Taxes (FICA) (CPI Real 2024$),809186.6666155957
1987,Payroll Taxes (FICA) (CPI Real 2024$),840878.31783363
1988,Payroll Taxes (FICA) (CPI Real 2024$),890171.2226253203
1989,Payroll Taxes (FICA) (CPI Real 2024$),913872.0032150142
1990,Payroll Taxes (FICA) (CPI Real 2024$),920272.1693763762
1991,Payroll Taxes (FICA) (CPI Real 2024$),912885.985139634
1992,Payroll Taxes (FICA) (CPI Real 2024$),925829.4357816615
1993,Payroll Taxes (FICA) (CPI Real 2024$),930082.9053179628
1994,Payroll Taxes (FICA) (CPI Real 2024$),976383.4938465457
1995,Payroll Taxes (FICA) (CPI Real 2024$),997114.3930036328
1996,Payroll Taxes (FICA) (CPI Real 2024$),1020037.2922041342
1997,Payroll Taxes (FICA) (CPI Real 2024$),1051913.5463636364
1998,Payroll Taxes (FICA) (CPI Real 2024$),1097249.1125483655
1999,Payroll Taxes (FICA) (CPI Real 2024$),1151898.7684854742
2000,Payroll Taxes (FICA) (CPI Real 2024$),1191451.8729640294
2001,Payroll Taxes (FICA) (CPI Real 2024$),1227079.1636217905
2002,Payroll Taxes (FICA) (CPI Real 2024$),1220790.5875326127
2003,Payroll Taxes (FICA) (CPI Real 2024$),1213413.5295953758
2004,Payroll Taxes (FICA) (CPI Real 2024$),1219865.5116903163
2005,Payroll Taxes (FICA) (CPI Real 2024$),1278764.224678093
2006,Payroll Taxes (FICA) (CPI Real 2024$),1301540.4783103447
2007,Payroll Taxes (FICA) (CPI Real 2024$),1319850.089533828
2008,Payroll Taxes (FICA) (CPI Real 2024$),1308170.7320458738
2009,Payroll Taxes (FICA) (CPI Real 2024$),1298653.0055219177
2010,Payroll Taxes (FICA) (CPI Real 2024$),1239500.3147532665
2011,Payroll Taxes (FICA) (CPI Real 2024$),1143675.2381784148
2012,Payroll Taxes (FICA) (CPI Real 2024$),1152716.547101876
2013,Payroll Taxes (FICA) (CPI Real 2024$),1271642.5133537683
2014,Payroll Taxes (FICA) (CPI Real 2024$),1351131.151786663
2015,Payroll Taxes (FICA) (CPI Real 2024$),1401970.708555791
2016,Payroll Taxes (FICA) (CPI Real 2024$),1454216.1562490845
2017,Payroll Taxes (FICA) (CPI Real 2024$),1484755.384310257
2018,Payroll Taxes (FICA) (CPI Real 2024$),1460744.4174449479
2019,Payroll Taxes (FICA) (CPI Real 2024$),1522880.8283356812
2020,Payroll Taxes (FICA) (CPI Real 2024$),1581778.4736044474
2021,Payroll Taxes (FICA) (CPI Real 2024$),1536134.0726587912
2022,Payroll Taxes (FICA) (CPI Real 2024$),1606889.6747756775
2023,Payroll Taxes (FICA) (CPI Real 2024$),1664197.6783400003
2024,Payroll Taxes (FICA) (CPI Real 2024$),1708926.0
1970,Excise Taxes (CPI Real 2024$),127717.82136798608
1971,Excise Taxes (CPI Real 2024$),128994.2214742525
1972,Excise Taxes (CPI Real 2024$),116302.4701386656
1973,Excise Taxes (CPI Real 2024$),116385.77446401225
1974,Excise Taxes (CPI Real 2024$),109498.67985396384
1975,Excise Taxes (CPI Real 2024$),97538.29059574468
1976,Excise Taxes (CPI Real 2024$),94024.02813370887
1977,Excise Taxes (CPI Real 2024$),91655.34388043023
1978,Excise Taxes (CPI Real 2024$),89667.42216886337
1979,Excise Taxes (CPI Real 2024$),82909.77358055358
1980,Excise Taxes (CPI Real 2024$),94762.29130937501
1981,Excise Taxes (CPI Real 2024$),143171.3261644478
1982,Excise Taxes (CPI Real 2024$),118487.90423509903
1983,Excise Taxes (CPI Real 2024$),111341.14289329397
1984,Excise Taxes (CPI Real 2024$),113155.26009476755
1985,Excise Taxes (CPI Real 2024$),105134.34429810171
1986,Excise Taxes (CPI Real 2024$),93827.12945117768
1987,Excise Taxes (CPI Real 2024$),89979.45246218862
1988,Excise Taxes (CPI Real 2024$),93792.33899957276
1989,Excise Taxes (CPI Real 2024$),87431.84138310893
1990,Excise Taxes (CPI Real 2024$),85586.83485623624
1991,Excise Taxes (CPI Real 2024$),97744.2560051785
1992,Excise Taxes (CPI Real 2024$),101982.94743655734
1993,Excise Taxes (CPI Real 2024$),104359.32416574714
1994,Excise Taxes (CPI Real 2024$),116844.41941096589
1995,Excise Taxes (CPI Real 2024$),118310.2541677675
1996,Excise Taxes (CPI Real 2024$),108156.2232312306
1997,Excise Taxes (CPI Real 2024$),111016.58545454546
1998,Excise Taxes (CPI Real 2024$),110664.9483291425
1999,Excise Taxes (CPI Real 2024$),132568.5274971049
2000,Excise Taxes (CPI Real 2024$),125678.30569817951
2001,Excise Taxes (CPI Real 2024$),117112.06320329125
2002,Excise Taxes (CPI Real 2024$),116701.2110683004
2003,Excise Taxes (CPI Real 2024$),114918.7424750808
2004,Excise Taxes (CPI Real 2024$),116188.83555669231
2005,Excise Taxes (CPI Real 2024$),117701.86335730589
2006,Excise Taxes (CPI Real 2024$),114897.13831034483
2007,Excise Taxes (CPI Real 2024$),98758.77893793018
2008,Excise Taxes (CPI Real 2024$),97854.66733126725
2009,Excise Taxes (CPI Real 2024$),91078.8948286159
2010,Excise Taxes (CPI Real 2024$),95897.76132188691
2011,Excise Taxes (CPI Real 2024$),101100.5938194216
2012,Excise Taxes (CPI Real 2024$),107811.91714607994
2013,Excise Taxes (CPI Real 2024$),112707.97474131166
2014,Excise Taxes (CPI Real 2024$),123260.95783121258
2015,Excise Taxes (CPI Real 2024$),129343.69759236935
2016,Excise Taxes (CPI Real 2024$),123928.51041304812
2017,Excise Taxes (CPI Real 2024$),107115.04598001258
2018,Excise Taxes (CPI Real 2024$),118518.96362557632
2019,Excise Taxes (CPI Real 2024$),121175.013256233
2020,Excise Taxes (CPI Real 2024$),104787.36745872488
2021,Excise Taxes (CPI Real 2024$),87993.312613248
2022,Excise Taxes (CPI Real 2024$),95023.02107661043
2023,Excise Taxes (CPI Real 2024$),78137.47318820006
2024,Excise Taxes (CPI Real 2024$),101436.0
1970,Other (CPI Real 2024$),77248.74786211396
1971,Other (CPI Real 2024$),79078.25603197675
1972,Other (CPI Real 2024$),92842.08945940515
1973,Other (CPI Real 2024$),86079.66320444105
1974,Other (CPI Real 2024$),89300.84096140473
1975,Other (CPI Real 2024$),88386.15686997636
1976,Other (CPI Real 2024$),95986.21088200415
1977,Other (CPI Real 2024$),99281.10191926247
1978,Other (CPI Real 2024$),94068.81609552396
1979,Other (CPI Real 2024$),97753.4759084457
1980,Other (CPI Real 2024$),102482.249440625
1981,Other (CPI Real 2024$),100471.29059347461
1982,Other (CPI Real 2024$),107703.22401431188
1983,Other (CPI Real 2024$),95598.83002699283
1984,Other (CPI Real 2024$),104163.0498428641
1985,Other (CPI Real 2024$),108137.1812045934
1986,Other (CPI Real 2024$),114673.80233935513
1987,Other (CPI Real 2024$),116515.58700845197
1988,Other (CPI Real 2024$),117115.9512752777
1989,Other (CPI Real 2024$),122863.78198898409
1990,Other (CPI Real 2024$),136023.62034840047
1991,Other (CPI Real 2024$),116773.51956167932
1992,Other (CPI Real 2024$),124694.06575353125
1993,Other (CPI Real 2024$),110268.17659213659
1994,Other (CPI Real 2024$),123619.17415888645
1995,Other (CPI Real 2024$),128808.83823480846
1996,Other (CPI Real 2024$),122913.7187919032
1997,Other (CPI Real 2024$),123213.50987012987
1998,Other (CPI Real 2024$),143837.76102683842
1999,Other (CPI Real 2024$),152583.5247394391
2000,Other (CPI Real 2024$),167394.04971399286
2001,Other (CPI Real 2024$),151127.1127237906
2002,Other (CPI Real 2024$),137622.0315570257
2003,Other (CPI Real 2024$),129914.13729689136
2004,Other (CPI Real 2024$),130604.53432943374
2005,Other (CPI Real 2024$),130252.3917591835
2006,Other (CPI Real 2024$),151097.94703448276
2007,Other (CPI Real 2024$),151159.25908718773
2008,Other (CPI Real 2024$),154641.3000275168
2009,Other (CPI Real 2024$),142926.36070187803
2010,Other (CPI Real 2024$),202084.8712893944
2011,Other (CPI Real 2024$),195179.55647693286
2012,Other (CPI Real 2024$),206075.52293944676
2013,Other (CPI Real 2024$),205766.146513094
2014,Other (CPI Real 2024$),249993.94375659115
2015,Other (CPI Real 2024$),265527.0984416659
2016,Other (CPI Real 2024$),276777.933491259
2017,Other (CPI Real 2024$),238062.40060475553
2018,Other (CPI Real 2024$),219540.70211353805
2019,Other (CPI Real 2024$),212222.26804540836
2020,Other (CPI Real 2024$),246235.8234564489
2021,Other (CPI Real 2024$),282355.0325732196
2022,Other (CPI Real 2024$),291447.7629735865
2023,Other (CPI Real 2024$),159389.02392714485
2024,Other (CPI Real 2024$),153587.0
